normalization,word_ngram,char_ngram,char_weight,location_boost,cold,warm,benchmark_mix_63_cold_37_warm,bootstrap_cold_mean,bootstrap_cold_std,bootstrap_cold_min,bootstrap_cold_max,bootstrap_warm_mean,bootstrap_warm_std,bootstrap_warm_min,bootstrap_warm_max,bootstrap_mix_mean,bootstrap_mix_std,bootstrap_mix_min,bootstrap_mix_max
plain,unigram,2_to_3,0.5,1.0,0.5235933333333332,0.5498215384615385,0.5332977692307692,0.5297513333333332,0.008526054795177554,0.5166933333333333,0.54456,0.5484336923076923,0.007781991082153602,0.5366548717948717,0.5623097435897437,0.5366638061538461,0.007388549005934059,0.5271643333333333,0.5487988717948719
plain,unigram,2_to_3,0.6,0.0,0.2336133333333333,0.24537743589743585,0.23796605128205126,0.232172,0.00571317109411377,0.22428,0.2425333333333333,0.24453984615384616,0.007611296601683519,0.23136410256410253,0.25613897435897437,0.23674810307692304,0.004511220182375348,0.22921111794871793,0.24501043589743587
plain,unigram,2_to_3,0.6,0.1,0.33966,0.35023820512820514,0.3435739358974359,0.339914,0.008113688753285109,0.32672666666666667,0.35406,0.35276302564102563,0.008876810707490662,0.3424948717948718,0.3721112820512821,0.34466813948717945,0.004548751779905985,0.33752153333333335,0.3531300666666667
plain,unigram,2_to_3,0.6,0.2,0.39886000000000005,0.4222548717948717,0.4075161025641026,0.4001473333333333,0.00744256324489897,0.38506,0.41046000000000005,0.4220296923076923,0.0065857495337748526,0.4120615384615385,0.43354307692307686,0.40824380615384614,0.004755451862559036,0.40003930769230767,0.41445053846153845
plain,unigram,2_to_3,0.6,0.3,0.4503,0.4782948717948718,0.46065810256410256,0.45352333333333333,0.007343360989171357,0.4439,0.4673,0.4771876923076923,0.007304775626267082,0.46566153846153846,0.49092307692307685,0.46227914615384613,0.005910147516434447,0.45369933333333334,0.47239366666666666
plain,unigram,2_to_3,0.6,0.4,0.48918,0.5175748717948718,0.49968610256410256,0.4936073333333334,0.007978380942843975,0.48433999999999994,0.50826,0.5172156923076924,0.008039692524964809,0.5041415384615384,0.531483076923077,0.5023424261538462,0.006595495009123481,0.49401436923076925,0.5112520666666667
plain,unigram,2_to_3,0.6,0.5,0.51326,0.5399882051282052,0.523149435897436,0.5189513333333333,0.007961914311657298,0.50918,0.53136,0.5391236923076923,0.008364650102518934,0.5271548717948717,0.5541764102564103,0.5264151061538461,0.007360655412410663,0.5169591076923077,0.5374488717948719
plain,unigram,2_to_3,0.6,0.56,0.5203933333333333,0.5471882051282052,0.5303074358974359,0.5269313333333333,0.007931673682609957,0.5158933333333333,0.53776,0.5463436923076923,0.008793112712039529,0.5341548717948718,0.5623764102564103,0.5341139061538461,0.007127555751339654,0.5252631076923078,0.5446628717948718
plain,unigram,2_to_3,0.6,0.6,0.5215933333333332,0.5477882051282053,0.5312854358974359,0.5285113333333333,0.00800382010644268,0.5174933333333334,0.53976,0.5470636923076924,0.00857410467936276,0.5353548717948717,0.5627764102564103,0.5353757061538461,0.0071423255739098265,0.5263671076923077,0.5460708717948719
plain,unigram,2_to_3,0.6,0.7,0.5233933333333333,0.5494215384615385,0.5330237692307692,0.5300513333333333,0.008198029302487538,0.5194933333333334,0.54196,0.5485536923076924,0.00885242713126743,0.5354548717948717,0.5651097435897438,0.5368972061538462,0.007284458774724951,0.5275864410256411,0.5479008717948718
plain,unigram,2_to_3,0.6,0.8,0.5233933333333333,0.5494215384615385,0.5330237692307692,0.5300513333333333,0.008198029302487538,0.5194933333333334,0.54196,0.5485536923076924,0.00885242713126743,0.5354548717948717,0.5651097435897438,0.5368972061538462,0.007284458774724951,0.5275864410256411,0.5479008717948718
plain,unigram,2_to_3,0.6,0.9,0.5233933333333333,0.5494215384615385,0.5330237692307692,0.5300513333333333,0.008198029302487538,0.5194933333333334,0.54196,0.5485536923076924,0.00885242713126743,0.5354548717948717,0.5651097435897438,0.5368972061538462,0.007284458774724951,0.5275864410256411,0.5479008717948718
plain,unigram,2_to_3,0.6,1.0,0.5233933333333333,0.5494215384615385,0.5330237692307692,0.5300513333333333,0.008198029302487538,0.5194933333333334,0.54196,0.5485536923076924,0.00885242713126743,0.5354548717948717,0.5651097435897438,0.5368972061538462,0.007284458774724951,0.5275864410256411,0.5479008717948718
plain,unigram,2_to_3,0.7,0.0,0.22941333333333333,0.24127743589743592,0.2338030512820513,0.228972,0.005924315077357241,0.22108000000000003,0.2377333333333333,0.24160984615384615,0.008421457775142855,0.22396410256410254,0.25423897435897436,0.23364800307692307,0.005200640183891175,0.22294511794871794,0.24076543589743588
plain,unigram,2_to_3,0.7,0.1,0.33119333333333334,0.3429382051282051,0.3355389358974359,0.3322273333333333,0.007470761079777042,0.32132666666666665,0.34259333333333336,0.345496358974359,0.007869025797840951,0.33492666666666665,0.3579446153846154,0.33713687282051286,0.004577183820261835,0.3292986666666667,0.3431552051282052
